,,Using Density Based Clustering,,,,,,,,,,,,,,,,,
Parameters,No Data Preprocessing,,,Using Normalization,,,Using Transform,,,Using PCA,,,Using T+N,,,Using T+N+PCA,,,Aggregate Sum
,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,c=3,c=4,c=5,
Silhouette,0.5228,0.5228,0.5228,0.2813,0.2813,0.2813,0.7594,0.7594,0.7594,0.5228,0.5228,0.5228,0.2859,0.2859,0.2859,0.2859,0.2859,0.2859,7.9743
Calinski-Harabasz,220.1813,220.1813,220.1813,65.1038,65.1038,65.1038,740.9297,740.9297,740.9297,220.1813,220.1813,220.1813,72.6619,72.6619,72.6619,72.6619,72.6619,72.6619,4175.1597
Davies-Bouldins,2.1879,2.1879,2.1879,1.7686,1.7686,1.7686,0.2685,0.2685,0.2685,2.1879,2.1879,2.1879,1.7654,1.7654,1.7654,1.7654,1.7654,1.7654,29.8311
